Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Andy Isabella (15788988),Andy Isabella,15788988,CPT,3000,ARI@SEA 11/19/2020 08:20PM ET,ARI,5.4
DST,Seahawks  (15788941),Seahawks ,15788941,FLEX,2800,ARI@SEA 11/19/2020 08:20PM ET,SEA,5.22
TE,Will Dissly (15788989),Will Dissly,15788989,CPT,2700,ARI@SEA 11/19/2020 08:20PM ET,SEA,3.81
TE,Dan Arnold (15788942),Dan Arnold,15788942,FLEX,2200,ARI@SEA 11/19/2020 08:20PM ET,ARI,4.04
TE,Maxx Williams (15788990),Maxx Williams,15788990,CPT,2100,ARI@SEA 11/19/2020 08:20PM ET,ARI,3.7
WR,Andy Isabella (15788943),Andy Isabella,15788943,FLEX,2000,ARI@SEA 11/19/2020 08:20PM ET,ARI,5.4
TE,Will Dissly (15788944),Will Dissly,15788944,FLEX,1800,ARI@SEA 11/19/2020 08:20PM ET,SEA,3.81
WR,Freddie Swain (15788991),Freddie Swain,15788991,CPT,1800,ARI@SEA 11/19/2020 08:20PM ET,SEA,3.68
TE,Jacob Hollister (15788992),Jacob Hollister,15788992,CPT,1500,ARI@SEA 11/19/2020 08:20PM ET,SEA,4.34
TE,Maxx Williams (15788945),Maxx Williams,15788945,FLEX,1400,ARI@SEA 11/19/2020 08:20PM ET,ARI,3.7
WR,Freddie Swain (15788946),Freddie Swain,15788946,FLEX,1200,ARI@SEA 11/19/2020 08:20PM ET,SEA,3.68
RB,Travis Homer (15788993),Travis Homer,15788993,CPT,1200,ARI@SEA 11/19/2020 08:20PM ET,SEA,3.64
TE,Jacob Hollister (15788947),Jacob Hollister,15788947,FLEX,1000,ARI@SEA 11/19/2020 08:20PM ET,SEA,4.34
RB,DeeJay Dallas (15788994),DeeJay Dallas,15788994,CPT,900,ARI@SEA 11/19/2020 08:20PM ET,SEA,7.98
RB,Travis Homer (15788948),Travis Homer,15788948,FLEX,800,ARI@SEA 11/19/2020 08:20PM ET,SEA,3.64
RB,DeeJay Dallas (15788949),DeeJay Dallas,15788949,FLEX,600,ARI@SEA 11/19/2020 08:20PM ET,SEA,7.98
TE,Darrell Daniels (15788995),Darrell Daniels,15788995,CPT,600,ARI@SEA 11/19/2020 08:20PM ET,ARI,2.9
TE,Darrell Daniels (15788950),Darrell Daniels,15788950,FLEX,400,ARI@SEA 11/19/2020 08:20PM ET,ARI,2.9
RB,D.J. Foster (15788996),D.J. Foster,15788996,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,ARI,0.95
RB,Nick Bellore (15788997),Nick Bellore,15788997,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,SEA,0.6
WR,Trent Sherfield (15788998),Trent Sherfield,15788998,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,ARI,0.32
WR,Penny Hart (15788999),Penny Hart,15788999,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
RB,Jonathan Ward (15789000),Jonathan Ward,15789000,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,ARI,0
TE,Tyler Ott (15789001),Tyler Ott,15789001,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
WR,Stephen Sullivan (15789002),Stephen Sullivan,15789002,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
TE,Evan Baylis (15789003),Evan Baylis,15789003,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,ARI,0
RB,Khalfani Muhammad (15789004),Khalfani Muhammad,15789004,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,ARI,0
WR,KeeSean Johnson (15789005),KeeSean Johnson,15789005,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,ARI,2.95
WR,Josh Gordon (15789006),Josh Gordon,15789006,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
RB,Rashaad Penny (15789007),Rashaad Penny,15789007,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
WR,Phillip Dorsett II (15789008),Phillip Dorsett II,15789008,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
RB,Eno Benjamin (15789009),Eno Benjamin,15789009,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,ARI,0
TE,Colby Parkinson (15789010),Colby Parkinson,15789010,CPT,300,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
RB,D.J. Foster (15788951),D.J. Foster,15788951,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,ARI,0.95
RB,Nick Bellore (15788952),Nick Bellore,15788952,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,SEA,0.6
WR,Trent Sherfield (15788953),Trent Sherfield,15788953,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,ARI,0.32
WR,Penny Hart (15788954),Penny Hart,15788954,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
RB,Jonathan Ward (15788955),Jonathan Ward,15788955,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,ARI,0
TE,Tyler Ott (15788956),Tyler Ott,15788956,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
WR,Stephen Sullivan (15788957),Stephen Sullivan,15788957,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
TE,Evan Baylis (15788958),Evan Baylis,15788958,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,ARI,0
RB,Khalfani Muhammad (15788959),Khalfani Muhammad,15788959,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,ARI,0
WR,KeeSean Johnson (15788960),KeeSean Johnson,15788960,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,ARI,2.95
WR,Josh Gordon (15788961),Josh Gordon,15788961,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
RB,Rashaad Penny (15788962),Rashaad Penny,15788962,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
WR,Phillip Dorsett II (15788963),Phillip Dorsett II,15788963,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
RB,Eno Benjamin (15788964),Eno Benjamin,15788964,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,ARI,0
TE,Colby Parkinson (15788965),Colby Parkinson,15788965,FLEX,200,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
